set_program_name,0 3673,0 36,1722008291 181628,0 111
mpsort_with_tmp,0 16171,0 754,1722008291 232166,0 3692
xstrcoll,0 17028,0 23,1722008291 236215,0 73
cmp_name,0 17008,0 62,1722008291 236142,0 214
xstrcoll_name,0 16989,0 100,1722008291 236070,0 352
mpsort_with_tmp,0 16970,0 141,1722008291 236001,0 490
mpsort_with_tmp,0 17133,0 22,1722008291 236562,0 71
xstrcoll,0 17231,0 22,1722008291 236937,0 477
cmp_name,0 17202,0 72,1722008291 236778,0 958
xstrcoll_name,0 17175,0 120,1722008291 236701,0 1263
xstrcoll,0 17358,0 20,1722008291 238783,0 75
cmp_name,0 17340,0 58,1722008291 238351,0 577
xstrcoll_name,0 17319,0 98,1722008291 238123,0 874
mpsort_into_tmp,0 16947,0 491,1722008291 235929,0 3138
xstrcoll,0 17499,0 19,1722008291 239276,0 71
cmp_name,0 17477,0 64,1722008291 239206,0 220
xstrcoll_name,0 17458,0 103,1722008291 239138,0 357
xstrcoll,0 17621,0 20,1722008291 239706,0 71
cmp_name,0 17601,0 61,1722008291 239638,0 210
xstrcoll_name,0 17582,0 100,1722008291 239569,0 350
xstrcoll,0 17741,0 21,1722008291 240131,0 76
cmp_name,0 17721,0 61,1722008291 240058,0 219
xstrcoll_name,0 17700,0 101,1722008291 239987,0 360
xstrcoll,0 17863,0 19,1722008291 240558,0 70
cmp_name,0 17841,0 60,1722008291 240485,0 211
xstrcoll_name,0 17821,0 99,1722008291 240414,0 414
xstrcoll,0 17965,0 15,1722008291 241362,0 101
cmp_name,0 17950,0 47,1722008291 241208,0 460
xstrcoll_name,0 17935,0 78,1722008291 241076,0 982
mpsort_with_tmp,0 16150,0 1885,1722008291 232096,0 10098
xstrcoll,0 18152,0 20,1722008291 243062,0 71
cmp_name,0 18131,0 59,1722008291 242990,0 211
xstrcoll_name,0 18111,0 99,1722008291 242918,0 351
mpsort_with_tmp,0 18091,0 142,1722008291 242847,0 501
xstrcoll,0 18295,0 20,1722008291 243566,0 71
cmp_name,0 18275,0 61,1722008291 243497,0 214
xstrcoll_name,0 18256,0 99,1722008291 243425,0 356
mpsort_with_tmp,0 18070,0 306,1722008291 242777,0 1074
xstrcoll,0 18487,0 20,1722008291 244232,0 73
cmp_name,0 18466,0 61,1722008291 244160,0 215
xstrcoll_name,0 18443,0 102,1722008291 244078,0 365
mpsort_with_tmp,0 18421,0 146,1722008291 243998,0 515
xstrcoll,0 18625,0 15,1722008291 244718,0 124
cmp_name,0 18605,0 51,1722008291 244650,0 337
xstrcoll_name,0 18587,0 83,1722008291 244582,0 708
xstrcoll,0 18715,0 15,1722008291 245776,0 121
cmp_name,0 18700,0 45,1722008291 245479,0 559
xstrcoll_name,0 18685,0 76,1722008291 245378,0 740
mpsort_with_tmp,0 18398,0 381,1722008291 243925,0 2541
xstrcoll,0 18828,0 20,1722008291 246868,0 69
cmp_name,0 18807,0 60,1722008291 246801,0 203
xstrcoll_name,0 18793,0 94,1722008291 246671,0 400
xstrcoll,0 18945,0 24,1722008291 247273,0 84
cmp_name,0 18925,0 64,1722008291 247206,0 221
xstrcoll_name,0 18906,0 102,1722008291 247139,0 358
xstrcoll,0 19067,0 21,1722008291 247699,0 68
cmp_name,0 19048,0 60,1722008291 247632,0 203
xstrcoll_name,0 19028,0 99,1722008291 247564,0 338
xstrcoll,0 19188,0 20,1722008291 248118,0 69
cmp_name,0 19167,0 60,1722008291 248038,0 215
xstrcoll_name,0 19148,0 100,1722008291 247969,0 355
xstrcoll,0 19307,0 20,1722008291 248525,0 69
cmp_name,0 19287,0 58,1722008291 248458,0 202
xstrcoll_name,0 19268,0 101,1722008291 248392,0 351
mpsort_into_tmp,0 18052,0 1342,1722008291 242466,0 6806
xstrcoll,0 19458,0 18,1722008291 249988,0 444
cmp_name,0 19435,0 63,1722008291 249733,0 1080
xstrcoll_name,0 19416,0 103,1722008291 249606,0 1286
xstrcoll,0 19579,0 20,1722008291 251104,0 68
cmp_name,0 19560,0 59,1722008291 251036,0 207
xstrcoll_name,0 19540,0 99,1722008291 250966,0 349
xstrcoll,0 19698,0 19,1722008291 251521,0 70
cmp_name,0 19677,0 59,1722008291 251453,0 205
xstrcoll_name,0 19659,0 97,1722008291 251385,0 341
xstrcoll,0 19818,0 22,1722008291 251946,0 72
cmp_name,0 19797,0 62,1722008291 251871,0 216
xstrcoll_name,0 19776,0 101,1722008291 251799,0 355
xstrcoll,0 19937,0 20,1722008291 252366,0 70
cmp_name,0 19917,0 60,1722008291 252295,0 213
xstrcoll_name,0 19897,0 100,1722008291 252225,0 352
xstrcoll,0 20056,0 15,1722008291 252865,0 154
cmp_name,0 20037,0 51,1722008291 252727,0 384
xstrcoll_name,0 20017,0 87,1722008291 252654,0 543
xstrcoll,0 20157,0 17,1722008291 253765,0 220
cmp_name,0 20139,0 50,1722008291 253621,0 509
xstrcoll_name,0 20122,0 81,1722008291 253283,0 1169
xstrcoll,0 20258,0 22,1722008291 254825,0 76
cmp_name,0 20237,0 66,1722008291 254729,0 255
xstrcoll_name,0 20218,0 107,1722008291 254629,0 438
xstrcoll,0 20388,0 24,1722008291 255296,0 80
cmp_name,0 20367,0 68,1722008291 255222,0 238
xstrcoll_name,0 20346,0 109,1722008291 255144,0 396
xstrcoll,0 20520,0 21,1722008291 255781,0 76
cmp_name,0 20497,0 66,1722008291 255697,0 237
xstrcoll_name,0 20476,0 109,1722008291 255618,0 399
xstrcoll,0 20654,0 19,1722008291 256265,0 85
cmp_name,0 20630,0 65,1722008291 256182,0 245
xstrcoll_name,0 20608,0 109,1722008291 256099,0 410
xstrcoll,0 20785,0 21,1722008291 256745,0 80
cmp_name,0 20762,0 65,1722008291 256667,0 232
xstrcoll_name,0 20741,0 108,1722008291 256593,0 389
mpsort_with_tmp,0 16127,0 4746,1722008291 232024,0 25043
mpsort,0 16105,0 4794,1722008291 231954,0 25198
sort_files,0 13374,0 7547,1722008291 219742,0 37496
xreallocarray,0 21072,0 25,1722008291 257724,0 82
xnrealloc,0 21048,0 74,1722008291 257643,0 241
xreallocarray,0 21173,0 25,1722008291 258061,0 89
xnmalloc,0 21149,0 74,1722008291 257979,0 250
init_column_info,0 21006,0 237,1722008291 257545,0 775
fileinfo_name_width,0 21285,0 20,1722008291 258471,0 77
length_of_file_name_and_frills,0 21263,0 62,1722008291 258394,0 229
fileinfo_name_width,0 21370,0 24,1722008291 258786,0 84
length_of_file_name_and_frills,0 21349,0 66,1722008291 258710,0 240
fileinfo_name_width,0 21456,0 20,1722008291 259102,0 78
length_of_file_name_and_frills,0 21435,0 61,1722008291 259028,0 229
fileinfo_name_width,0 21538,0 24,1722008291 259411,0 79
length_of_file_name_and_frills,0 21515,0 65,1722008291 259331,0 235
fileinfo_name_width,0 21622,0 22,1722008291 259714,0 76
length_of_file_name_and_frills,0 21602,0 62,1722008291 259640,0 223
fileinfo_name_width,0 21708,0 20,1722008291 260027,0 78
length_of_file_name_and_frills,0 21686,0 62,1722008291 259949,0 232
fileinfo_name_width,0 21792,0 20,1722008291 260332,0 78
length_of_file_name_and_frills,0 21770,0 62,1722008291 260259,0 226
fileinfo_name_width,0 21874,0 22,1722008291 260644,0 78
length_of_file_name_and_frills,0 21852,0 66,1722008291 260561,0 238
fileinfo_name_width,0 21958,0 20,1722008291 260949,0 72
length_of_file_name_and_frills,0 21938,0 60,1722008291 260875,0 222
fileinfo_name_width,0 22038,0 22,1722008291 261243,0 80
length_of_file_name_and_frills,0 22018,0 62,1722008291 261166,0 233
fileinfo_name_width,0 22122,0 22,1722008291 261552,0 79
length_of_file_name_and_frills,0 22098,0 66,1722008291 261468,0 242
fileinfo_name_width,0 22204,0 24,1722008291 261866,0 78
length_of_file_name_and_frills,0 22184,0 66,1722008291 261790,0 236
fileinfo_name_width,0 22292,0 22,1722008291 262185,0 87
length_of_file_name_and_frills,0 22272,0 62,1722008291 262108,0 239
calculate_columns,0 20985,0 1367,1722008291 257471,0 4945
fileinfo_name_width,0 22392,0 20,1722008291 262560,0 77
length_of_file_name_and_frills,0 22372,0 62,1722008291 262492,0 221
set_normal_color,0 22472,0 22,1722008291 262851,0 68
get_quoting_style,0 22566,0 16,1722008291 263281,0 85
quote_name_buf,0 22546,0 58,1722008291 263195,0 435
quote_name,0 22530,0 92,1722008291 263078,0 675
process_signals,0 22646,0 26,1722008291 263990,0 116
print_name_with_quoting,0 22512,0 182,1722008291 262997,0 1310
print_file_name_and_frills,0 22454,0 264,1722008291 262783,0 1682
indent,0 22742,0 18,1722008291 264568,0 65
fileinfo_name_width,0 22804,0 50,1722008291 264975,0 130
length_of_file_name_and_frills,0 22782,0 102,1722008291 264739,0 449
set_normal_color,0 22938,0 24,1722008291 265498,0 143
get_quoting_style,0 23068,0 8,1722008291 266156,0 26
quote_name_buf,0 23044,0 54,1722008291 266063,0 199
quote_name,0 23020,0 102,1722008291 265911,0 433
process_signals,0 23146,0 26,1722008291 266430,0 85
print_name_with_quoting,0 22990,0 206,1722008291 265835,0 762
print_file_name_and_frills,0 22910,0 308,1722008291 265320,0 1350
indent,0 23252,0 20,1722008291 266758,0 68
fileinfo_name_width,0 23319,0 22,1722008291 266988,0 77
length_of_file_name_and_frills,0 23295,0 66,1722008291 266907,0 237
set_normal_color,0 23403,0 24,1722008291 267288,0 82
get_quoting_style,0 23520,0 27,1722008291 267682,0 84
quote_name_buf,0 23492,0 78,1722008291 267597,0 254
quote_name,0 23469,0 120,1722008291 267516,0 406
process_signals,0 23612,0 21,1722008291 267997,0 77
print_name_with_quoting,0 23449,0 206,1722008291 267442,0 707
print_file_name_and_frills,0 23382,0 293,1722008291 267213,0 1010
indent,0 23698,0 21,1722008291 268296,0 82
fileinfo_name_width,0 23761,0 21,1722008291 268527,0 73
length_of_file_name_and_frills,0 23739,0 62,1722008291 268453,0 219
set_normal_color,0 23842,0 23,1722008291 268819,0 79
get_quoting_style,0 23953,0 24,1722008291 269203,0 77
quote_name_buf,0 23930,0 68,1722008291 269128,0 228
quote_name,0 23910,0 109,1722008291 269053,0 379
process_signals,0 24040,0 20,1722008291 269501,0 74
print_name_with_quoting,0 23888,0 196,1722008291 268978,0 677
print_file_name_and_frills,0 23821,0 282,1722008291 268743,0 984
indent,0 24125,0 19,1722008291 269800,0 72
fileinfo_name_width,0 24190,0 20,1722008291 270026,0 75
length_of_file_name_and_frills,0 24168,0 65,1722008291 269953,0 223
set_normal_color,0 24275,0 20,1722008291 270332,0 80
get_quoting_style,0 24385,0 27,1722008291 270719,0 90
quote_name_buf,0 24357,0 77,1722008291 270633,0 250
quote_name,0 24337,0 117,1722008291 270560,0 396
process_signals,0 24476,0 21,1722008291 271033,0 72
print_name_with_quoting,0 24316,0 204,1722008291 270487,0 693
print_file_name_and_frills,0 24254,0 286,1722008291 270250,0 1003
indent,0 24560,0 20,1722008291 271326,0 72
fileinfo_name_width,0 24622,0 23,1722008291 271544,0 75
length_of_file_name_and_frills,0 24602,0 63,1722008291 271471,0 221
set_normal_color,0 24707,0 22,1722008291 271844,0 74
get_quoting_style,0 24820,0 24,1722008291 272227,0 76
quote_name_buf,0 24792,0 73,1722008291 272139,0 238
quote_name,0 24772,0 116,1722008291 272066,0 391
process_signals,0 24910,0 22,1722008291 272530,0 74
print_name_with_quoting,0 24749,0 204,1722008291 271990,0 686
print_file_name_and_frills,0 24686,0 287,1722008291 271771,0 978
indent,0 24994,0 20,1722008291 272822,0 72
fileinfo_name_width,0 25057,0 24,1722008291 273041,0 81
length_of_file_name_and_frills,0 25035,0 69,1722008291 272967,0 233
set_normal_color,0 25147,0 22,1722008291 273349,0 77
get_quoting_style,0 25246,0 21,1722008291 273826,0 82
quote_name_buf,0 25225,0 58,1722008291 273727,0 261
quote_name,0 25209,0 97,1722008291 273608,0 473
process_signals,0 25330,0 19,1722008291 274178,0 120
print_name_with_quoting,0 25189,0 176,1722008291 273522,0 860
print_file_name_and_frills,0 25126,0 255,1722008291 273276,0 1189
indent,0 25399,0 18,1722008291 274554,0 85
fileinfo_name_width,0 25454,0 22,1722008291 274900,0 92
length_of_file_name_and_frills,0 25432,0 64,1722008291 274766,0 435
set_normal_color,0 25534,0 21,1722008291 275406,0 151
get_quoting_style,0 25636,0 23,1722008291 275839,0 71
quote_name_buf,0 25613,0 67,1722008291 275769,0 211
quote_name,0 25595,0 107,1722008291 275697,0 355
process_signals,0 25721,0 20,1722008291 276118,0 67
print_name_with_quoting,0 25576,0 184,1722008291 275629,0 623
print_file_name_and_frills,0 25515,0 264,1722008291 275309,0 1009
indent,0 25798,0 19,1722008291 276384,0 73
fileinfo_name_width,0 25860,0 21,1722008291 276600,0 71
length_of_file_name_and_frills,0 25840,0 60,1722008291 276530,0 220
set_normal_color,0 25965,0 20,1722008291 276962,0 129
get_quoting_style,0 26097,0 27,1722008291 277702,0 318
quote_name_buf,0 26063,0 79,1722008291 277530,0 717
quote_name,0 26033,0 130,1722008291 277396,0 1127
process_signals,0 26187,0 24,1722008291 278782,0 72
print_name_with_quoting,0 26006,0 226,1722008291 277230,0 1702
print_file_name_and_frills,0 25931,0 325,1722008291 276883,0 2128
indent,0 26276,0 19,1722008291 279084,0 70
fileinfo_name_width,0 26342,0 20,1722008291 279314,0 71
length_of_file_name_and_frills,0 26318,0 66,1722008291 279232,0 229
set_normal_color,0 26429,0 20,1722008291 279615,0 81
get_quoting_style,0 26540,0 24,1722008291 280006,0 75
quote_name_buf,0 26516,0 68,1722008291 279929,0 224
quote_name,0 26495,0 113,1722008291 279857,0 377
process_signals,0 26632,0 21,1722008291 280316,0 76
print_name_with_quoting,0 26471,0 203,1722008291 279776,0 694
print_file_name_and_frills,0 26407,0 290,1722008291 279542,0 1005
indent,0 26721,0 21,1722008291 280633,0 75
fileinfo_name_width,0 26785,0 21,1722008291 280858,0 77
length_of_file_name_and_frills,0 26763,0 64,1722008291 280778,0 230
set_normal_color,0 26870,0 21,1722008291 281158,0 73
get_quoting_style,0 26982,0 24,1722008291 281539,0 76
quote_name_buf,0 26956,0 74,1722008291 281459,0 245
quote_name,0 26933,0 119,1722008291 281379,0 401
process_signals,0 27073,0 22,1722008291 281855,0 73
print_name_with_quoting,0 26913,0 203,1722008291 281307,0 694
print_file_name_and_frills,0 26848,0 291,1722008291 281084,0 997
indent,0 27160,0 20,1722008291 282153,0 73
fileinfo_name_width,0 27225,0 21,1722008291 282379,0 83
length_of_file_name_and_frills,0 27203,0 63,1722008291 282306,0 225
set_normal_color,0 27308,0 21,1722008291 282677,0 73
get_quoting_style,0 27417,0 27,1722008291 283055,0 83
quote_name_buf,0 27393,0 74,1722008291 282978,0 239
quote_name,0 27370,0 121,1722008291 282901,0 395
process_signals,0 27513,0 21,1722008291 283370,0 75
print_name_with_quoting,0 27349,0 204,1722008291 282822,0 694
print_file_name_and_frills,0 27286,0 287,1722008291 282604,0 986
indent,0 27612,0 21,1722008291 283692,0 69
fileinfo_name_width,0 27674,0 21,1722008291 283909,0 75
length_of_file_name_and_frills,0 27653,0 65,1722008291 283836,0 228
set_normal_color,0 27761,0 24,1722008291 284209,0 81
get_quoting_style,0 27872,0 24,1722008291 284603,0 76
quote_name_buf,0 27848,0 71,1722008291 284528,0 231
quote_name,0 27825,0 117,1722008291 284450,0 382
process_signals,0 27963,0 21,1722008291 284905,0 73
print_name_with_quoting,0 27806,0 198,1722008291 284371,0 680
print_file_name_and_frills,0 27740,0 285,1722008291 284136,0 988
print_many_per_line,0 20963,0 7079,1722008291 257389,0 27801
print_current_files,0 20942,0 7106,1722008291 257312,0 27889
print_dir,0 5068,0 22986,1722008291 188230,0 96981
rpl_free,0 28066,0 6,1722008291 285229,0 9
rpl_free,0 28078,0 6,1722008291 285247,0 9
rpl_free,0 28089,0 20,1722008291 285265,0 72
free_pending_ent,0 28060,0 71,1722008291 285219,0 192
rpl_fflush,0 28236,0 28,1722008291 285759,0 106
rpl_fclose,0 28210,0 80,1722008291 285670,0 276
close_stream,0 28186,0 129,1722008291 285584,0 443
rpl_fflush,0 28368,0 27,1722008291 286189,0 87
rpl_fclose,0 28340,0 81,1722008291 286107,0 263
close_stream,0 28154,0 292,1722008291 285496,0 954
